date;name;value;type
2024-03-06;prophet;1781.05703189774;t
2024-03-06;tbats;1710.98474301909;t
2024-03-06;mstl;1734.89438102178;t
2024-03-06;stl;1734.89438102178;t
2024-03-06;stl_stats;1733.78777108454;t
2024-03-06;x11;1748.46276952967;t
2024-03-07;rjdverse;1752.40235680529;t
2024-03-07;prophet;1780.95774323286;t
2024-03-07;tbats;1736.56298848157;t
2024-03-07;mstl;1734.72930050643;t
2024-03-07;stl;1734.72930050643;t
2024-03-07;stl_stats;1733.74316605282;t
2024-03-07;x11;1748.14110329398;t
2024-03-08;rjdverse;1752.21022356454;t
2024-03-08;prophet;1780.85845456797;t
2024-03-08;tbats;1727.4647259282;t
2024-03-08;mstl;1734.56421999108;t
2024-03-08;stl;1734.56421999108;t
2024-03-08;stl_stats;1733.67989076771;t
2024-03-08;x11;1747.81475393062;t
2024-03-09;rjdverse;1752.01256747616;t
2024-03-09;prophet;1780.75916590309;t
2024-03-09;tbats;1751.0177767967;t
2024-03-09;mstl;1734.39913947573;t
2024-03-09;stl;1734.39913947573;t
2024-03-09;stl_stats;1733.88527875641;t
2024-03-09;x11;1747.48383975445;t
2024-03-10;rjdverse;1751.81028500813;t
2024-03-10;prophet;1780.6598772382;t
2024-03-10;tbats;1780.85150765981;t
2024-03-10;mstl;1734.23405896037;t
2024-03-10;stl;1734.23405896037;t
2024-03-10;stl_stats;1734.00810745468;t
2024-03-10;x11;1747.14848083357;t
2024-03-11;rjdverse;1751.60272734626;t
2024-03-11;prophet;1780.56058857332;t
2024-03-11;tbats;1744.70233642906;t
2024-03-11;mstl;1734.06897844502;t
2024-03-11;stl;1734.06897844502;t
2024-03-11;stl_stats;1733.65625041792;t
2024-03-11;x11;1746.80880035126;t
2024-03-12;rjdverse;1751.38346067867;t
2024-03-12;prophet;1780.46129990843;t
2024-03-12;tbats;1743.77094601034;t
2024-03-12;mstl;1733.90389792967;t
2024-03-12;stl;1733.90389792967;t
2024-03-12;stl_stats;1733.74887539419;t
2024-03-12;x11;1746.46492573722;t
2024-03-13;rjdverse;1751.15151971881;t
2024-03-13;prophet;1780.36201124355;t
2024-03-13;tbats;1683.26631490906;t
2024-03-13;mstl;1733.73881741432;t
2024-03-13;stl;1733.73881741432;t
2024-03-13;stl_stats;1733.46448341331;t
2024-03-13;x11;1746.11698546067;t
2024-03-14;rjdverse;1750.91702985543;t
2024-03-14;prophet;1780.26272257866;t
2024-03-14;tbats;1671.28937048482;t
2024-03-14;mstl;1733.57373689897;t
2024-03-14;stl;1733.57373689897;t
2024-03-14;stl_stats;1733.45001536789;t
2024-03-14;x11;1745.76510906637;t
2024-03-15;rjdverse;1750.6860420945;t
2024-03-15;prophet;1780.16343391378;t
2024-03-15;tbats;1678.25254355417;t
2024-03-15;mstl;1733.40865638362;t
2024-03-15;stl;1733.40865638362;t
2024-03-15;stl_stats;1733.37578117867;t
2024-03-15;x11;1745.4094243522;t
2024-03-16;rjdverse;1750.45795843825;t
2024-03-16;prophet;1780.06414524889;t
2024-03-16;tbats;1698.38353505869;t
2024-03-16;mstl;1733.24357586827;t
2024-03-16;stl;1733.24357586827;t
2024-03-16;stl_stats;1733.54281300299;t
2024-03-16;x11;1745.05005943276;t
2024-03-17;rjdverse;1750.23252409693;t
2024-03-17;prophet;1779.96485658401;t
2024-03-17;tbats;1735.1225248458;t
2024-03-17;mstl;1733.07849535292;t
2024-03-17;stl;1733.07849535292;t
